date,countryCode,hS10Code,censusUOMId1,censusUOMId2,fasConvertedUOMId,fasNonConvertedUOMId,quantity1,quantity2,value,mes_origen,year
199608,CA,0203292000,47,47,70,70,13762.0,0.0,58621.0,8,1996
199608,CA,0203294000,47,47,70,70,263957.0,0.0,664126.0,8,1996
199609,CA,0203110000,47,47,70,70,41056.0,0.0,71072.0,9,1996
199609,CA,0203121000,47,47,70,70,285602.0,0.0,588351.0,9,1996
199609,CA,0203192000,47,47,70,70,601995.0,0.0,1330917.0,9,1996
199609,CA,0203229000,47,47,70,70,67309.0,0.0,182990.0,9,1996
199609,CA,0203292000,47,47,70,70,7261.0,0.0,35449.0,9,1996
199609,CA,0203294000,47,47,70,70,763034.0,0.0,1757174.0,9,1996
199610,CA,0203121000,47,47,70,70,15051.0,0.0,32747.0,10,1996
199610,CA,0203192000,47,47,70,70,1020929.0,0.0,2288667.0,10,1996
199610,CA,0203229000,47,47,70,70,37694.0,0.0,90117.0,10,1996
199610,CA,0203292000,47,47,70,70,19051.0,0.0,46715.0,10,1996
199610,CA,0203294000,47,47,70,70,607917.0,0.0,1511928.0,10,1996
199611,CA,0203121000,47,47,70,70,86934.0,0.0,173405.0,11,1996
199611,CA,0203192000,47,47,70,70,663610.0,0.0,1394522.0,11,1996
199611,CA,0203229000,47,47,70,70,58099.0,0.0,143891.0,11,1996
199611,CA,0203292000,47,47,70,70,20065.0,0.0,59032.0,11,1996
199611,CA,0203294000,47,47,70,70,542865.0,0.0,1460261.0,11,1996
199612,CA,0203121000,47,47,70,70,152430.0,0.0,286107.0,12,1996
199612,CA,0203192000,47,47,70,70,1311667.0,0.0,2648974.0,12,1996
199612,CA,0203292000,47,47,70,70,1093.0,0.0,2809.0,12,1996
199612,CA,0203294000,47,47,70,70,753105.0,0.0,1568196.0,12,1996
199701,CA,0203121000,47,47,70,70,84433.0,0.0,196989.0,1,1997
199701,CA,0203192000,47,47,70,70,1082352.0,0.0,2365101.0,1,1997
199701,CA,0203229000,47,47,70,70,38333.0,0.0,104609.0,1,1997
199701,CA,0203292000,47,47,70,70,22447.0,0.0,67607.0,1,1997
199701,CA,0203294000,47,47,70,70,823652.0,0.0,1599645.0,1,1997
199702,CA,0203110000,47,47,70,70,1844.0,0.0,3354.0,2,1997
199702,CA,0203121000,47,47,70,70,293110.0,0.0,579311.0,2,1997
199702,CA,0203192000,47,47,70,70,1532943.0,0.0,3432763.0,2,1997
199702,CA,0203229000,47,47,70,70,130425.0,0.0,215424.0,2,1997
199702,CA,0203292000,47,47,70,70,3726.0,0.0,13633.0,2,1997
199702,CA,0203294000,47,47,70,70,446254.0,0.0,1182085.0,2,1997
199703,CA,0203110000,47,47,70,70,9626.0,0.0,16937.0,3,1997
199703,CA,0203121000,47,47,70,70,362614.0,0.0,654935.0,3,1997
199703,CA,0203192000,47,47,70,70,1847775.0,0.0,4416881.0,3,1997
199703,CA,0203292000,47,47,70,70,26384.0,0.0,46189.0,3,1997
199703,CA,0203294000,47,47,70,70,586462.0,0.0,1251540.0,3,1997
199704,CA,0203110000,47,47,70,70,13887.0,0.0,23621.0,4,1997
199704,CA,0203121000,47,47,70,70,165315.0,0.0,243368.0,4,1997
199704,CA,0203192000,47,47,70,70,1844212.0,0.0,4260141.0,4,1997
199704,CA,0203292000,47,47,70,70,60578.0,0.0,105195.0,4,1997
199704,CA,0203294000,47,47,70,70,884323.0,0.0,2080969.0,4,1997
199705,CA,0203110000,47,47,70,70,5548.0,0.0,7332.0,5,1997
199705,CA,0203121000,47,47,70,70,147473.0,0.0,304740.0,5,1997
199705,CA,0203192000,47,47,70,70,1835678.0,0.0,4306845.0,5,1997
199705,CA,0203210000,47,47,70,70,13006.0,0.0,16825.0,5,1997
199705,CA,0203229000,47,47,70,70,1915.0,0.0,3712.0,5,1997
199705,CA,0203292000,47,47,70,70,21928.0,0.0,48851.0,5,1997
199705,CA,0203294000,47,47,70,70,1231676.0,0.0,2809080.0,5,1997
199706,CA,0203121000,47,47,70,70,398374.0,0.0,737643.0,6,1997
199706,CA,0203192000,47,47,70,70,2497343.0,0.0,6124000.0,6,1997
199706,CA,0203292000,47,47,70,70,33291.0,0.0,106112.0,6,1997
199706,CA,0203294000,47,47,70,70,587194.0,0.0,1464636.0,6,1997
199707,CA,0203121000,47,47,70,70,149709.0,0.0,249513.0,7,1997
199707,CA,0203192000,47,47,70,70,1555560.0,0.0,3845187.0,7,1997
199707,CA,0203292000,47,47,70,70,17177.0,0.0,84987.0,7,1997
199707,CA,0203294000,47,47,70,70,787765.0,0.0,1919844.0,7,1997
199708,CA,0203121000,47,47,70,70,95361.0,0.0,175092.0,8,1997
199708,CA,0203192000,47,47,70,70,1617838.0,0.0,4079654.0,8,1997
199708,CA,0203229000,47,47,70,70,38214.0,0.0,76558.0,8,1997
199708,CA,0203292000,47,47,70,70,34097.0,0.0,208331.0,8,1997
199708,CA,0203294000,47,47,70,70,557072.0,0.0,1654595.0,8,1997
199709,CA,0203121000,47,47,70,70,304910.0,0.0,598747.0,9,1997
199709,CA,0203192000,47,47,70,70,1709659.0,0.0,3951436.0,9,1997
199709,CA,0203229000,47,47,70,70,25751.0,0.0,65233.0,9,1997
199709,CA,0203292000,47,47,70,70,39039.0,0.0,169286.0,9,1997
199709,CA,0203294000,47,47,70,70,532720.0,0.0,1413704.0,9,1997
199710,CA,0203121000,47,47,70,70,90400.0,0.0,214435.0,10,1997
199710,CA,0203192000,47,47,70,70,2499761.0,0.0,4845372.0,10,1997
199710,CA,0203292000,47,47,70,70,59432.0,0.0,191547.0,10,1997
199710,CA,0203294000,47,47,70,70,513903.0,0.0,1349048.0,10,1997
199711,CA,0203121000,47,47,70,70,324763.0,0.0,604187.0,11,1997
199711,CA,0203192000,47,47,70,70,2880069.0,0.0,5809097.0,11,1997
199711,CA,0203229000,47,47,70,70,48072.0,0.0,122791.0,11,1997
199711,CA,0203292000,47,47,70,70,5990.0,0.0,16485.0,11,1997
199711,CA,0203294000,47,47,70,70,517273.0,0.0,1268204.0,11,1997
199712,CA,0203121000,47,47,70,70,231867.0,0.0,438154.0,12,1997
199712,CA,0203192000,47,47,70,70,1811555.0,0.0,3784442.0,12,1997
199712,CA,0203229000,47,47,70,70,168239.0,0.0,319046.0,12,1997
199712,CA,0203292000,47,47,70,70,56372.0,0.0,196223.0,12,1997
199712,CA,0203294000,47,47,70,70,617046.0,0.0,1323117.0,12,1997
199801,CA,0203121000,47,47,70,70,443874.0,0.0,853870.0,1,1998
199801,CA,0203192000,47,47,70,70,2162429.0,0.0,4223094.0,1,1998
199801,CA,0203229000,47,47,70,70,75886.0,0.0,160926.0,1,1998
199801,CA,0203292000,47,47,70,70,45773.0,0.0,131670.0,1,1998
199801,CA,0203294000,47,47,70,70,1001645.0,0.0,2129541.0,1,1998
199802,CA,0203121000,47,47,70,70,226828.0,0.0,452774.0,2,1998
199802,CA,0203192000,47,47,70,70,1761774.0,0.0,3341119.0,2,1998
199802,CA,0203229000,47,47,70,70,59212.0,0.0,127209.0,2,1998
199802,CA,0203292000,47,47,70,70,61766.0,0.0,193669.0,2,1998
199802,CA,0203294000,47,47,70,70,1287736.0,0.0,2590168.0,2,1998
199803,CA,0203110000,47,47,70,70,3042.0,0.0,3222.0,3,1998
199803,CA,0203121000,47,47,70,70,136659.0,0.0,267225.0,3,1998
199803,CA,0203192000,47,47,70,70,1219149.0,0.0,3034596.0,3,1998
199803,CA,0203229000,47,47,70,70,127864.0,0.0,283549.0,3,1998
199803,CA,0203292000,47,47,70,70,35064.0,0.0,104598.0,3,1998
199803,CA,0203294000,47,47,70,70,1093189.0,0.0,2118258.0,3,1998
199804,CA,0203121000,47,47,70,70,76475.0,0.0,184400.0,4,1998
199804,CA,0203192000,47,47,70,70,1322084.0,0.0,2806901.0,4,1998
199804,CA,0203229000,47,47,70,70,39159.0,0.0,91416.0,4,1998
199804,CA,0203292000,47,47,70,70,64121.0,0.0,214457.0,4,1998
199804,CA,0203294000,47,47,70,70,951914.0,0.0,1949509.0,4,1998
199805,CA,0203121000,47,47,70,70,309176.0,0.0,652964.0,5,1998
199805,CA,0203192000,47,47,70,70,2363434.0,0.0,4945286.0,5,1998
199805,CA,0203229000,47,47,70,70,37675.0,0.0,67289.0,5,1998
199805,CA,0203292000,47,47,70,70,25361.0,0.0,61397.0,5,1998
199805,CA,0203294000,47,47,70,70,1348104.0,0.0,2386758.0,5,1998
199806,CA,0203121000,47,47,70,70,377814.0,0.0,561027.0,6,1998
199806,CA,0203192000,47,47,70,70,1354421.0,0.0,3015996.0,6,1998
199806,CA,0203229000,47,47,70,70,39575.0,0.0,62882.0,6,1998
199806,CA,0203292000,47,47,70,70,24523.0,0.0,69183.0,6,1998
199806,CA,0203294000,47,47,70,70,1265997.0,0.0,2478677.0,6,1998
199807,CA,0203121000,47,47,70,70,142793.0,0.0,231252.0,7,1998
199807,CA,0203192000,47,47,70,70,1401047.0,0.0,2759839.0,7,1998
199807,CA,0203229000,47,47,70,70,20301.0,0.0,46169.0,7,1998
199807,CA,0203292000,47,47,70,70,29742.0,0.0,82642.0,7,1998
199807,CA,0203294000,47,47,70,70,737974.0,0.0,1349983.0,7,1998
199808,CA,0203121000,47,47,70,70,47655.0,0.0,86119.0,8,1998
